bill_id,name,category,price,quantity,full_cost,shop_name,shop_address,day_of_purchase,load_date,category_id
896b7f48-a3a9-45d6-8723-8090c60a29b5,САЛАТ Фриллис в горшочке,,6499,1,6499,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",10.10.7373,14.11.7374,0
896b7f48-a3a9-45d6-8723-8090c60a29b5,Батон Нарезной из пш в/с 400г не упак(КБК Чер,,4329,1,4329,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",10.10.7373,14.11.7374,0
7f4c0341-db6e-4d94-bd57-1031e4dc6cc5,"ПРОСТОКВАШИНО Молоко паст 3,2% 1,4л пл/б",,10499,1,10499,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",02.07.7373,14.11.7374,0
7f4c0341-db6e-4d94-bd57-1031e4dc6cc5,ПРД Масло подсолнечное БЛАГО раф дез 1л пл/бу,,9999,1,9999,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",02.07.7373,14.11.7374,0
7f4c0341-db6e-4d94-bd57-1031e4dc6cc5,ТОМАТЫ 1кг,,16999,0.568,9655,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",02.07.7373,14.11.7374,0
7f4c0341-db6e-4d94-bd57-1031e4dc6cc5,ПЕРЕЦ красный 1кг,,19990,0.188,3758,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",02.07.7373,14.11.7374,0
ceb15763-b8ca-4053-9951-6a80c05a1715,САФ-МОМЕНТ Дрожжи 11г:60/1080,,1580,3,4740,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",28.05.7372,14.11.7374,0
ceb15763-b8ca-4053-9951-6a80c05a1715,LA FRESH Прокладки ежедневные гигиенические ж,,10999,1,10999,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",28.05.7372,14.11.7374,0
ceb15763-b8ca-4053-9951-6a80c05a1715,ЯБЛОКИ Симиренко 1кг,,11659,0.574,6692,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",28.05.7372,14.11.7374,0
ceb15763-b8ca-4053-9951-6a80c05a1715,Батон Нарезной из пш в/с 400г не упак(КБК Чер,,3247,1,3247,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",28.05.7372,14.11.7374,0
3fca7035-e35e-4ef7-a3a8-ed7c8c31a518,Батон Нарезной из пш в/с 400г не упак(КБК Чер,,3247,1,3247,Магазин  Магнит  Рента,"108801,Россия,город федерального значения Москва,поселение Сосенское м.р-н.,,Коммунарка п,,Александры Монаховой ул,,Дом 96 этаж 1, кадастровый номер 77:17:0120316:15781,Корпус 2,,,",02.08.7371,14.11.7374,0
